2026-08-01 17:45:55  WARNING   nexus.test  Demo readiness check -- logging test entry
2026-08-01 23:11:50  INFO      __main__  === Indexer run started (workers=None) ===
2026-08-01 23:11:50  INFO      discovery  Scanning: C:\Users\acer\Documents\Aadhisesha
2026-08-01 23:11:50  INFO      __main__  Discovery complete: 14 file(s) found
2026-08-01 23:11:50  INFO      __main__  Indexer setup — System CPUs: 8 | CPU Process Workers: 7 | Ollama Thread Workers: 4
2026-08-01 23:11:53  DEBUG     chromadb.config  Starting component System
2026-08-01 23:11:53  DEBUG     chromadb.config  Starting component Posthog
2026-08-01 23:11:53  DEBUG     __main__  SKIP Aadhisesha_35x35.jpeg (mtime unchanged)
2026-08-01 23:11:53  DEBUG     __main__  SKIP aadhisesha_resume.pdf (mtime unchanged)
2026-08-01 23:11:53  DEBUG     __main__  SKIP Aadhi_Passport_Photo.jpeg (mtime unchanged)
2026-08-01 23:11:53  DEBUG     __main__  SKIP Aadhi_Passport_Photo_white.jpeg (mtime unchanged)
2026-08-01 23:11:53  DEBUG     __main__  SKIP Aadhi_Passport_raw.JPG (mtime unchanged)
2026-08-01 23:11:53  DEBUG     __main__  SKIP College_ID_Card.jpeg (mtime unchanged)
2026-08-01 23:11:53  DEBUG     __main__  SKIP College_ID_Card.pdf (mtime unchanged)
2026-08-01 23:11:53  DEBUG     __main__  SKIP College_ID_Card2.jpeg (mtime unchanged)
2026-08-01 23:11:53  DEBUG     __main__  SKIP CT20265021581_Application_Form.pdf (mtime unchanged)
2026-08-01 23:11:53  DEBUG     __main__  SKIP Info_Document.pdf (mtime unchanged)
2026-08-01 23:11:53  DEBUG     __main__  SKIP tcsnowhite.jpeg (mtime unchanged)
2026-08-01 23:11:53  DEBUG     __main__  SKIP tcsoriginal.jpeg (mtime unchanged)
2026-08-01 23:11:53  DEBUG     __main__  SKIP tcs_application.pdf (mtime unchanged)
2026-08-01 23:11:53  DEBUG     __main__  SKIP TITAN LeAP - CS Dept.xlsx (mtime unchanged)
2026-08-01 23:11:53  INFO      __main__  === Indexer run complete — indexed=0 skipped=14 failed=0 total_time=3.07s ===
2026-08-02 00:03:20  INFO      __main__  === Indexer run started (workers=None) ===
2026-08-02 00:03:20  INFO      discovery  Scanning: C:\Users\acer\Documents\Aadhisesha
2026-08-02 00:03:20  INFO      __main__  Discovery complete: 14 file(s) found
2026-08-02 00:03:20  INFO      __main__  Indexer setup — System CPUs: 8 | CPU Process Workers: 7 | Ollama Thread Workers: 4
2026-08-02 00:03:23  DEBUG     chromadb.config  Starting component System
2026-08-02 00:03:23  DEBUG     chromadb.config  Starting component Posthog
2026-08-02 00:03:23  DEBUG     __main__  SKIP Aadhisesha_35x35.jpeg (mtime unchanged)
2026-08-02 00:03:23  DEBUG     __main__  SKIP aadhisesha_resume.pdf (mtime unchanged)
2026-08-02 00:03:23  DEBUG     __main__  SKIP Aadhi_Passport_Photo.jpeg (mtime unchanged)
2026-08-02 00:03:23  DEBUG     __main__  SKIP Aadhi_Passport_Photo_white.jpeg (mtime unchanged)
2026-08-02 00:03:23  DEBUG     __main__  SKIP Aadhi_Passport_raw.JPG (mtime unchanged)
2026-08-02 00:03:23  DEBUG     __main__  SKIP College_ID_Card.jpeg (mtime unchanged)
2026-08-02 00:03:23  DEBUG     __main__  SKIP College_ID_Card.pdf (mtime unchanged)
2026-08-02 00:03:23  DEBUG     __main__  SKIP College_ID_Card2.jpeg (mtime unchanged)
2026-08-02 00:03:23  DEBUG     __main__  SKIP CT20265021581_Application_Form.pdf (mtime unchanged)
2026-08-02 00:03:23  DEBUG     __main__  SKIP Info_Document.pdf (mtime unchanged)
2026-08-02 00:03:23  DEBUG     __main__  SKIP tcsnowhite.jpeg (mtime unchanged)
2026-08-02 00:03:23  DEBUG     __main__  SKIP tcsoriginal.jpeg (mtime unchanged)
2026-08-02 00:03:23  DEBUG     __main__  SKIP tcs_application.pdf (mtime unchanged)
2026-08-02 00:03:23  DEBUG     __main__  SKIP TITAN LeAP - CS Dept.xlsx (mtime unchanged)
2026-08-02 00:03:23  INFO      __main__  === Indexer run complete — indexed=0 skipped=14 failed=0 total_time=3.55s ===
2026-08-02 00:04:38  INFO      __main__  === Indexer run started (workers=None) ===
2026-08-02 00:04:38  INFO      discovery  Scanning: C:\Users\acer\Documents\Aadhisesha
2026-08-02 00:04:38  INFO      __main__  Discovery complete: 14 file(s) found
2026-08-02 00:04:38  INFO      __main__  Indexer setup — System CPUs: 8 | CPU Process Workers: 7 | Ollama Thread Workers: 4
2026-08-02 00:04:40  DEBUG     chromadb.config  Starting component System
2026-08-02 00:04:40  DEBUG     chromadb.config  Starting component Posthog
2026-08-02 00:04:40  DEBUG     __main__  SKIP Aadhisesha_35x35.jpeg (mtime unchanged)
2026-08-02 00:04:40  DEBUG     __main__  SKIP aadhisesha_resume.pdf (mtime unchanged)
2026-08-02 00:04:41  DEBUG     __main__  SKIP Aadhi_Passport_Photo.jpeg (mtime unchanged)
2026-08-02 00:04:41  DEBUG     __main__  SKIP Aadhi_Passport_Photo_white.jpeg (mtime unchanged)
2026-08-02 00:04:41  DEBUG     __main__  SKIP Aadhi_Passport_raw.JPG (mtime unchanged)
2026-08-02 00:04:41  DEBUG     __main__  SKIP College_ID_Card.jpeg (mtime unchanged)
2026-08-02 00:04:41  DEBUG     __main__  SKIP College_ID_Card.pdf (mtime unchanged)
2026-08-02 00:04:41  DEBUG     __main__  SKIP College_ID_Card2.jpeg (mtime unchanged)
2026-08-02 00:04:41  DEBUG     __main__  SKIP CT20265021581_Application_Form.pdf (mtime unchanged)
2026-08-02 00:04:41  DEBUG     __main__  SKIP Info_Document.pdf (mtime unchanged)
2026-08-02 00:04:41  DEBUG     __main__  SKIP tcsnowhite.jpeg (mtime unchanged)
2026-08-02 00:04:41  DEBUG     __main__  SKIP tcsoriginal.jpeg (mtime unchanged)
2026-08-02 00:04:41  DEBUG     __main__  SKIP tcs_application.pdf (mtime unchanged)
2026-08-02 00:04:41  DEBUG     __main__  SKIP TITAN LeAP - CS Dept.xlsx (mtime unchanged)
2026-08-02 00:04:41  INFO      __main__  === Indexer run complete — indexed=0 skipped=14 failed=0 total_time=2.15s ===
2026-08-02 00:05:01  INFO      __main__  === Indexer run started (workers=None) ===
2026-08-02 00:05:01  INFO      discovery  Scanning: C:\Users\acer\Documents\Aadhisesha
2026-08-02 00:05:01  INFO      __main__  Discovery complete: 14 file(s) found
2026-08-02 00:05:01  INFO      __main__  Indexer setup — System CPUs: 8 | CPU Process Workers: 7 | Ollama Thread Workers: 4
2026-08-02 00:05:03  DEBUG     chromadb.config  Starting component System
2026-08-02 00:05:03  DEBUG     chromadb.config  Starting component Posthog
2026-08-02 00:05:06  DEBUG     httpcore.connection  connect_tcp.started host='127.0.0.1' port=11434 local_address=None timeout=None socket_options=None
2026-08-02 00:05:06  DEBUG     httpcore.connection  connect_tcp.started host='127.0.0.1' port=11434 local_address=None timeout=None socket_options=None
2026-08-02 00:05:06  DEBUG     httpcore.connection  connect_tcp.started host='127.0.0.1' port=11434 local_address=None timeout=None socket_options=None
2026-08-02 00:05:06  DEBUG     httpcore.connection  connect_tcp.started host='127.0.0.1' port=11434 local_address=None timeout=None socket_options=None
2026-08-02 00:05:06  DEBUG     httpcore.connection  connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000265334E6A50>
2026-08-02 00:05:06  DEBUG     httpcore.connection  connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x0000026533658910>
2026-08-02 00:05:06  DEBUG     httpcore.http11  send_request_headers.started request=<Request [b'POST']>
2026-08-02 00:05:06  DEBUG     httpcore.connection  connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x0000026533658CD0>
2026-08-02 00:05:06  DEBUG     httpcore.http11  send_request_headers.started request=<Request [b'POST']>
2026-08-02 00:05:06  DEBUG     httpcore.connection  connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x0000026533601F30>
2026-08-02 00:05:06  DEBUG     httpcore.http11  send_request_headers.started request=<Request [b'POST']>
2026-08-02 00:05:06  DEBUG     httpcore.http11  send_request_headers.complete
2026-08-02 00:05:06  DEBUG     httpcore.http11  send_request_body.started request=<Request [b'POST']>
2026-08-02 00:05:06  DEBUG     httpcore.http11  send_request_headers.complete
2026-08-02 00:05:06  DEBUG     httpcore.http11  send_request_body.started request=<Request [b'POST']>
2026-08-02 00:05:06  DEBUG     httpcore.http11  send_request_headers.complete
